recording_id;sole_id;timestamp;x_value;y_value;z_value
0;1;1715769049036;51942.503906;-173100.984375;-29480.878906
0;2;1715769049040;32105.470703;-78615.679688;18189.031250
0;1;1715769049054;1281.777344;-1403.851440;976.592285
0;2;1715769049068;0.000000;-2075.258545;-854.518250
0;1;1715769049070;915.555298;-854.518250;1037.629272
0;1;1715769049070;976.592285;-915.555298;976.592285
0;2;1715769049072;0.000000;-2197.332520;-854.518250
0;2;1715769049084;0.000000;-2319.406738;-854.518250
0;1;1715769049087;854.518250;-976.592285;976.592285
0;1;1715769049088;915.555298;-854.518250;1037.629272
0;2;1715769049100;-122.074036;-1770.073486;-976.592285
0;1;1715769049103;732.444214;-915.555298;1037.629272
0;2;1715769049117;-61.037018;-2380.443604;-732.444214
0;1;1715769049121;732.444214;-671.407227;1037.629272
0;2;1715769049133;0.000000;-1892.147583;-976.592285
0;1;1715769049137;732.444214;-671.407227;976.592285
0;2;1715769049150;0.000000;-1953.184570;-854.518250
0;1;1715769049153;732.444214;-793.481201;976.592285
0;2;1715769049167;0.000000;-1831.110596;-915.555298
0;1;1715769049170;854.518250;-854.518250;915.555298
0;2;1715769049184;0.000000;-1586.962402;-976.592285
0;1;1715769049186;671.407227;-793.481201;915.555298
0;2;1715769049200;0.000000;-1953.184570;-854.518250
0;1;1715769049204;732.444214;-732.444214;1037.629272
0;2;1715769049217;0.000000;-1953.184570;-915.555298
0;1;1715769049220;671.407227;-549.333130;1037.629272
0;2;1715769049234;0.000000;-1953.184570;-793.481201
0;1;1715769049237;793.481201;-1098.666260;854.518250
0;2;1715769049251;-61.037018;-1953.184570;-793.481201
0;1;1715769049253;854.518250;-854.518250;1037.629272
0;2;1715769049268;0.000000;-1892.147583;-793.481201
0;1;1715769049270;854.518250;-793.481201;976.592285
0;2;1715769049284;-61.037018;-1831.110596;-976.592285
0;1;1715769049286;549.333130;-549.333130;976.592285
0;2;1715769049301;-122.074036;-1586.962402;-915.555298
0;1;1715769049303;732.444214;-793.481201;854.518250
0;2;1715769049319;0.000000;-1403.851440;-1098.666260
0;1;1715769049320;732.444214;-793.481201;976.592285
0;2;1715769049335;0.000000;-1953.184570;-793.481201
0;1;1715769049336;793.481201;-732.444214;976.592285
0;2;1715769049351;0.000000;-1892.147583;-793.481201
0;1;1715769049353;671.407227;-549.333130;1098.666260
0;1;1715769049369;732.444214;-854.518250;793.481201
0;2;1715769049369;0.000000;-1831.110596;-732.444214
0;2;1715769049385;0.000000;-1709.036499;-854.518250
0;1;1715769049387;793.481201;-549.333130;854.518250
0;2;1715769049402;122.074036;-1770.073486;-671.407227
0;1;1715769049403;671.407227;-793.481201;854.518250
0;2;1715769049418;-122.074036;-1953.184570;-671.407227
0;1;1715769049419;549.333130;-732.444214;915.555298
0;2;1715769049435;-183.111053;-1586.962402;-793.481201
0;1;1715769049436;366.222107;-549.333130;854.518250
0;1;1715769049452;183.111053;-793.481201;793.481201
0;2;1715769049452;-122.074036;-1770.073486;-732.444214
0;2;1715769049468;0.000000;-1709.036499;-671.407227
0;1;1715769049470;183.111053;-732.444214;854.518250
0;1;1715769049486;732.444214;-793.481201;793.481201
0;2;1715769049486;-122.074036;-1709.036499;-671.407227
0;1;1715769049502;305.185089;-732.444214;976.592285
0;2;1715769049502;-305.185089;-1647.999512;-915.555298
0;1;1715769049519;793.481201;-732.444214;793.481201
0;2;1715769049519;0.000000;-1770.073486;-793.481201
0;1;1715769049535;671.407227;-732.444214;915.555298
0;2;1715769049537;0.000000;-1770.073486;-732.444214
0;2;1715769049552;0.000000;-1464.888428;-793.481201
0;1;1715769049553;854.518250;-915.555298;915.555298
0;1;1715769049570;732.444214;-793.481201;793.481201
0;2;1715769049570;0.000000;-1586.962402;-793.481201
0;1;1715769049586;732.444214;-549.333130;854.518250
0;2;1715769049586;0.000000;-1464.888428;-793.481201
0;1;1715769049602;732.444214;-854.518250;854.518250
0;2;1715769049603;0.000000;-1464.888428;-854.518250
0;1;1715769049619;793.481201;-854.518250;549.333130
0;2;1715769049621;0.000000;-1892.147583;-488.296143
0;1;1715769049636;671.407227;-732.444214;915.555298
0;2;1715769049636;0.000000;-1342.814453;-854.518250
0;1;1715769049653;671.407227;-427.259125;854.518250
0;2;1715769049654;0.000000;-1647.999512;-671.407227
0;1;1715769049669;549.333130;-549.333130;854.518250
0;2;1715769049671;-122.074036;-1586.962402;-671.407227
0;1;1715769049685;366.222107;-549.333130;854.518250
0;2;1715769049687;-366.222107;-1586.962402;-671.407227
0;1;1715769049702;366.222107;-488.296143;793.481201
0;2;1715769049704;-183.111053;-1403.851440;-732.444214
0;1;1715769049719;366.222107;-732.444214;732.444214
0;2;1715769049721;0.000000;-976.592285;-854.518250
0;1;1715769049735;488.296143;-488.296143;793.481201
0;2;1715769049737;0.000000;-1342.814453;-732.444214
0;1;1715769049752;732.444214;-549.333130;793.481201
0;2;1715769049755;0.000000;-1647.999512;-427.259125
0;1;1715769049768;732.444214;-549.333130;671.407227
0;2;1715769049770;-61.037018;-1403.851440;-671.407227
0;1;1715769049784;671.407227;-488.296143;671.407227
0;2;1715769049788;0.000000;-1464.888428;-732.444214
0;1;1715769049802;854.518250;-488.296143;732.444214
0;2;1715769049805;0.000000;-1403.851440;-671.407227
0;1;1715769049819;671.407227;-671.407227;732.444214
0;2;1715769049821;0.000000;-1586.962402;-671.407227
