record_id;sole_id;timestamp;acc_x;acc_y;acc_z
0;2;1715769049017;98;74;1013
0;2;1715769049033;99;71;1018
0;1;1715769049036;-81;-65;1000
0;2;1715769049050;114;2;1020
0;1;1715769049054;-91;-24;1003
0;2;1715769049066;112;4;1019
0;1;1715769049070;-88;-23;1000
0;2;1715769049084;112;4;1017
0;1;1715769049087;-88;-23;1000
0;2;1715769049100;112;0;1023
0;1;1715769049103;-89;-23;1004
0;2;1715769049117;113;2;1020
0;1;1715769049121;-86;-24;1002
0;2;1715769049133;112;0;1021
0;1;1715769049137;-87;-23;1005
0;2;1715769049150;115;2;1020
0;1;1715769049153;-92;-23;1007
0;2;1715769049167;111;0;1021
0;1;1715769049170;-86;-21;1005
0;2;1715769049184;114;3;1024
0;1;1715769049186;-88;-23;1007
0;2;1715769049200;114;1;1020
0;1;1715769049204;-85;-21;1006
0;2;1715769049217;113;2;1022
0;1;1715769049220;-88;-25;1006
0;2;1715769049234;111;0;1023
0;1;1715769049237;-89;-21;1007
0;2;1715769049251;114;0;1022
0;1;1715769049253;-89;-22;1007
0;2;1715769049268;113;0;1021
0;1;1715769049270;-88;-23;1006
0;2;1715769049284;114;2;1022
0;1;1715769049286;-89;-24;1008
0;2;1715769049301;112;3;1023
0;1;1715769049303;-88;-23;1007
0;2;1715769049319;113;0;1026
0;1;1715769049320;-88;-24;1008
0;2;1715769049335;114;1;1024
0;1;1715769049336;-87;-24;1006
0;2;1715769049351;111;0;1024
0;1;1715769049353;-86;-23;1007
0;1;1715769049369;-89;-24;1008
0;2;1715769049369;117;0;1024
0;2;1715769049385;114;2;1023
0;1;1715769049387;-87;-24;1006
0;2;1715769049402;115;2;1026
0;1;1715769049403;-87;-24;1008
0;2;1715769049418;113;1;1023
0;1;1715769049419;-89;-22;1007
0;2;1715769049435;114;3;1026
0;1;1715769049436;-89;-22;1006
0;1;1715769049452;-87;-25;1009
0;2;1715769049452;115;1;1025
0;2;1715769049468;114;1;1025
0;1;1715769049470;-88;-23;1007
0;1;1715769049486;-88;-25;1009
0;2;1715769049486;114;0;1024
0;1;1715769049502;-88;-24;1008
0;2;1715769049502;111;0;1025
0;1;1715769049519;-85;-24;1006
0;2;1715769049519;114;0;1024
0;1;1715769049535;-88;-25;1008
0;2;1715769049537;116;0;1023
0;2;1715769049552;113;2;1026
0;1;1715769049553;-85;-24;1009
0;1;1715769049570;-90;-23;1008
0;2;1715769049570;111;0;1022
0;1;1715769049586;-89;-23;1008
0;2;1715769049586;112;0;1026
0;1;1715769049602;-88;-23;1008
0;2;1715769049603;111;0;1026
0;1;1715769049619;-88;-22;1008
0;2;1715769049621;112;1;1026
0;1;1715769049636;-88;-22;1008
0;2;1715769049636;111;0;1025
0;1;1715769049653;-88;-23;1007
0;2;1715769049654;111;0;1024
0;1;1715769049669;-87;-24;1008
0;2;1715769049671;113;0;1025
0;1;1715769049685;-88;-20;1007
0;2;1715769049687;112;0;1026
0;1;1715769049702;-86;-25;1010
0;2;1715769049704;112;1;1026
0;1;1715769049719;-88;-24;1008
0;2;1715769049721;111;0;1026
0;1;1715769049735;-91;-22;1010
0;2;1715769049737;114;2;1026
0;1;1715769049752;-86;-22;1011
0;2;1715769049755;114;0;1026
0;1;1715769049768;-84;-21;1007
0;2;1715769049770;111;0;1026
0;1;1715769049784;-88;-24;1008
0;2;1715769049788;115;1;1028
0;1;1715769049802;-87;-23;1009
0;2;1715769049805;114;3;1027
0;1;1715769049819;-87;-24;1008
0;2;1715769049821;114;1;1026
0;1;1715769049835;-86;-22;1007
0;2;1715769049838;111;1;1026
0;1;1715769049852;-88;-21;1007
0;2;1715769049856;112;1;1025
0;1;1715769049869;-85;-22;1008
0;2;1715769049872;113;0;1025
0;1;1715769049885;-87;-22;1009
0;2;1715769049888;112;1;1025
0;1;1715769049902;-91;-22;1008
0;2;1715769049906;111;-2;1028
0;1;1715769049918;-88;-21;1010
0;2;1715769049922;112;-1;1025
0;1;1715769049935;-88;-25;1009
0;2;1715769049939;111;0;1026
0;1;1715769049953;-88;-21;1010
0;2;1715769049955;114;0;1026
0;1;1715769049969;-85;-24;1009
0;2;1715769049972;111;-1;1027
0;1;1715769049986;-88;-24;1009
0;2;1715769049990;109;0;1029
0;1;1715769050002;-88;-25;1011
0;2;1715769050005;118;0;1027
0;1;1715769050019;-87;-25;1007
0;2;1715769050023;111;0;1027
0;1;1715769050036;-88;-23;1012
0;2;1715769050039;113;-2;1027
0;1;1715769050052;-86;-22;1008
0;2;1715769050056;113;-1;1026
0;1;1715769050069;-87;-24;1010
0;2;1715769050074;112;-1;1028
0;1;1715769050086;-87;-22;1008
0;2;1715769050088;113;-1;1025
0;1;1715769050102;-90;-22;1011
0;2;1715769050107;113;0;1026
0;1;1715769050119;-88;-24;1009
0;2;1715769050125;111;-1;1026
0;1;1715769050135;-87;-26;1008
0;2;1715769050140;112;0;1025
0;1;1715769050152;-89;-23;1008
0;2;1715769050158;113;0;1025
0;1;1715769050169;-87;-26;1009
0;2;1715769050173;114;-1;1027
0;1;1715769050184;-89;-23;1008
0;2;1715769050191;114;-2;1026
0;1;1715769050202;-89;-23;1010
0;2;1715769050209;114;0;1028
0;1;1715769050218;-89;-24;1009
0;2;1715769050224;112;0;1025
0;1;1715769050235;-86;-25;1009
0;2;1715769050242;112;2;1028
0;1;1715769050251;-88;-23;1008
0;2;1715769050258;113;0;1022
0;1;1715769050268;-88;-23;1009
0;2;1715769050275;113;-1;1026
0;2;1715769050280;114;1;1027
0;1;1715769050285;-88;-22;1009
0;2;1715769050292;111;0;1026
0;1;1715769050302;-89;-24;1009
0;2;1715769050309;113;0;1028
0;1;1715769050318;-89;-23;1011
0;2;1715769050326;111;0;1026
0;2;1715769050332;112;0;1025
0;1;1715769050334;-86;-25;1009
0;1;1715769050351;-87;-24;1009
0;2;1715769050358;110;0;1027
0;2;1715769050358;114;0;1026
0;1;1715769050369;-88;-24;1008
0;2;1715769050376;115;0;1026
0;2;1715769050376;115;0;1026
0;1;1715769050385;-84;-25;1010
0;2;1715769050393;113;1;1027
0;1;1715769050402;-88;-23;1011
0;2;1715769050409;112;-1;1026
0;1;1715769050418;-89;-24;1009
0;2;1715769050426;114;0;1026
0;1;1715769050434;-88;-26;1007
0;2;1715769050444;113;-2;1026
0;1;1715769050452;-88;-25;1010
0;2;1715769050460;114;0;1026
0;1;1715769050468;-87;-24;1007
0;2;1715769050477;112;1;1029
0;1;1715769050484;-90;-22;1010
0;2;1715769050493;111;0;1026
0;1;1715769050501;-87;-24;1008
0;2;1715769050510;113;-2;1026
0;1;1715769050517;-88;-23;1010
0;2;1715769050528;114;0;1028
0;1;1715769050533;-87;-23;1010
0;2;1715769050544;112;0;1028
0;1;1715769050551;-86;-25;1007
0;2;1715769050561;115;0;1026
0;1;1715769050568;-86;-24;1011
0;2;1715769050577;113;0;1029
0;1;1715769050583;-87;-24;1009
0;2;1715769050594;113;-1;1025
0;1;1715769050601;-88;-24;1010
0;2;1715769050612;111;0;1028
0;1;1715769050618;-86;-26;1012
0;2;1715769050628;112;-1;1028
0;1;1715769050635;-86;-25;1010
0;2;1715769050645;114;0;1030
0;1;1715769050651;-86;-22;1008
0;2;1715769050662;111;0;1026
0;1;1715769050667;-89;-23;1009
0;2;1715769050679;113;-2;1028
0;1;1715769050681;-87;-22;1007
0;2;1715769050695;114;0;1026
0;1;1715769050702;-87;-24;1011
0;2;1715769050713;114;-1;1027
0;1;1715769050718;-88;-21;1009
0;2;1715769050730;111;0;1028
0;1;1715769050735;-85;-23;1011
0;2;1715769050746;113;0;1028
0;1;1715769050751;-88;-25;1009
0;2;1715769050763;112;0;1027
0;1;1715769050767;-88;-25;1010
0;2;1715769050780;113;0;1027
0;1;1715769050784;-86;-20;1010
0;2;1715769050797;113;-1;1026
0;1;1715769050801;-88;-23;1009
0;2;1715769050814;113;-1;1026
0;1;1715769050818;-87;-24;1011
0;2;1715769050830;112;0;1028
0;1;1715769050834;-88;-23;1012
0;2;1715769050847;111;-1;1027
0;1;1715769050851;-88;-25;1009
